"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"e:\myWorkPlace\vue-element-app\src\App.vue", "Vue", 25, 0, 17, 7, 49
"e:\myWorkPlace\vue-element-app\src\components\AccountManage.vue", "Vue", 335, 0, 15, 34, 384
"e:\myWorkPlace\vue-element-app\src\components\HelloWorld.vue", "Vue", 128, 0, 0, 3, 131
"e:\myWorkPlace\vue-element-app\src\components\Page1.vue", "Vue", 22, 0, 0, 11, 33
"e:\myWorkPlace\vue-element-app\src\components\allCourses\allCourseQuiz.vue", "Vue", 398, 0, 25, 16, 439
"e:\myWorkPlace\vue-element-app\src\components\allCourses\allCourseTutorial.vue", "Vue", 75, 0, 2, 15, 92
"e:\myWorkPlace\vue-element-app\src\components\allCourses\index.vue", "Vue", 96, 0, 7, 17, 120
"e:\myWorkPlace\vue-element-app\src\components\finalQuiz\finalQuiz.vue", "Vue", 395, 0, 13, 15, 423
"e:\myWorkPlace\vue-element-app\src\components\finalQuiz\index.vue", "Vue", 63, 0, 9, 16, 88
"e:\myWorkPlace\vue-element-app\src\components\moduleQuiz\index.vue", "Vue", 73, 0, 9, 16, 98
"e:\myWorkPlace\vue-element-app\src\components\moduleQuiz\moduleQuiz.vue", "Vue", 397, 0, 17, 13, 427
"e:\myWorkPlace\vue-element-app\src\components\myCourses\index.vue", "Vue", 136, 0, 13, 19, 168
"e:\myWorkPlace\vue-element-app\src\components\myCourses\myCoursePreQuiz.vue", "Vue", 506, 0, 11, 27, 544
"e:\myWorkPlace\vue-element-app\src\components\myCourses\myCourseQuiz.vue", "Vue", 412, 0, 6, 20, 438
"e:\myWorkPlace\vue-element-app\src\components\myCourses\myCourseTutorial.vue", "Vue", 70, 0, 2, 8, 80
"e:\myWorkPlace\vue-element-app\src\components\profile\EditProfile.vue", "Vue", 766, 0, 13, 27, 806
"e:\myWorkPlace\vue-element-app\src\components\profile\MyProfile.vue", "Vue", 95, 0, 1, 7, 103
"e:\myWorkPlace\vue-element-app\src\components\profile\myProfileComponents\moduleAssessment.vue", "Vue", 138, 0, 5, 12, 155
"e:\myWorkPlace\vue-element-app\src\components\profile\myProfileComponents\myCalendar.vue", "Vue", 90, 0, 10, 9, 109
"e:\myWorkPlace\vue-element-app\src\components\profile\myProfileComponents\overallAssessment.vue", "Vue", 201, 0, 7, 23, 231
"e:\myWorkPlace\vue-element-app\src\components\wrongQuestions\index.vue", "Vue", 64, 0, 9, 15, 88
"e:\myWorkPlace\vue-element-app\src\components\wrongQuestions\wrongQuiz.vue", "Vue", 391, 0, 17, 12, 420
"e:\myWorkPlace\vue-element-app\src\layouts\footer\index.vue", "Vue", 63, 0, 0, 5, 68
"e:\myWorkPlace\vue-element-app\src\layouts\header\HeaderCollapse.vue", "Vue", 51, 0, 0, 14, 65
"e:\myWorkPlace\vue-element-app\src\layouts\header\HeaderDropdown.vue", "Vue", 70, 0, 2, 5, 77
"e:\myWorkPlace\vue-element-app\src\layouts\header\HeaderNavigation.vue", "Vue", 33, 0, 0, 12, 45
"e:\myWorkPlace\vue-element-app\src\layouts\header\index.vue", "Vue", 52, 0, 0, 12, 64
"e:\myWorkPlace\vue-element-app\src\layouts\index.vue", "Vue", 50, 0, 0, 26, 76
"e:\myWorkPlace\vue-element-app\src\layouts\menu\AllCourses.vue", "Vue", 67, 0, 5, 19, 91
"e:\myWorkPlace\vue-element-app\src\layouts\menu\MyCourses.vue", "Vue", 179, 0, 4, 12, 195
"e:\myWorkPlace\vue-element-app\src\layouts\menu\index.vue", "Vue", 83, 0, 1, 25, 109
"e:\myWorkPlace\vue-element-app\src\main.js", "JavaScript", 0, 27, 8, 18, 53
"e:\myWorkPlace\vue-element-app\src\router\index.js", "JavaScript", 0, 72, 1, 15, 88
"e:\myWorkPlace\vue-element-app\src\store\index.js", "JavaScript", 0, 14, 2, 11, 27
"e:\myWorkPlace\vue-element-app\src\utils\validate.js", "JavaScript", 0, 90, 117, 22, 229
"e:\myWorkPlace\vue-element-app\src\views\401.vue", "Vue", 265, 0, 3, 29, 297
"e:\myWorkPlace\vue-element-app\src\views\404.vue", "Vue", 265, 0, 3, 29, 297
"e:\myWorkPlace\vue-element-app\src\views\AboutPage.vue", "Vue", 140, 0, 0, 17, 157
"e:\myWorkPlace\vue-element-app\src\views\Event.vue", "Vue", 19, 0, 0, 10, 29
"e:\myWorkPlace\vue-element-app\src\views\Global.vue", "Vue", 8, 0, 0, 1, 9
"e:\myWorkPlace\vue-element-app\src\views\UserAccount\ForgotPassword.vue", "Vue", 262, 0, 12, 22, 296
"e:\myWorkPlace\vue-element-app\src\views\UserAccount\Login.vue", "Vue", 321, 0, 25, 12, 358
"e:\myWorkPlace\vue-element-app\src\views\UserAccount\Register.vue", "Vue", 529, 0, 23, 26, 578
"e:\myWorkPlace\vue-element-app\src\views\UserAccount\ResetPassword.vue", "Vue", 203, 0, 12, 17, 232
"e:\myWorkPlace\vue-element-app\src\views\index\index.vue", "Vue", 101, 0, 7, 23, 131
"Total", "-", 7637, 203, 433, 724, 8997
